Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
30.4.117,False,False,557828,Egyptian Art,"Facsimile, Ipuy (TT 217), market, herdsmen, goats","Herdsmen and Part of a Market Scene, Tomb of Ipuy",,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,ca. 1279–1213 B.C.,-1279,-1213,Tempera on paper,"facsimile: h.. 34 cm ( 13 3/8 in); w. 72.5 cm (28 9/16 in)
scale 1:1
framed: 37.5 cm (14 3/4 in); w. 75.9 cm (29 7/8 in)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Deir el-Medina,Tomb of Ipuy (TT 217),,,,,,http://www.metmuseum.org/art/collection/search/557828,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
14.102.2,False,True,6515,American Decorative Arts,Platter,Platter,British (American market),,,,,Maker,,James and Ralph Clews,"British, Cobridge, Stoke-on-Trent, active ca. 1818–36",,"Clews, James and Ralph",British,1813      ,1836      ,ca. 1815–ca. 1834,1812,1837,"Earthenware, transfer-printed",16 x 12 5/16 in. (40.6 x 31.3 cm),"Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6515,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
61.113,False,True,471901,The Cloisters,Relief,Crucifixion Group,German,,,,,Artist,Attributed to an associate of,Hans Wydytz I,"German, Strasbourg ca. 1475–ca. 1516 Strasbourg",,"Wydytz, Hans I",German,1470      ,1521      ,1490–1510,1490,1510,Limewood,"Overall (with framing elements): 37 × 27 1/4 × 9 in. (94 × 69.2 × 22.9 cm)
Overall (without framing elements): 34 3/4 × 26 × 5 7/8 in. (88.3 × 66 × 14.9 cm)","The Cloisters Collection, 1961",Made in,Freiburg im Breisgau(?),,Upper Rhineland,Germany,,,,,,,Sculpture-Wood,,http://www.metmuseum.org/art/collection/search/471901,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
23.2.80,False,False,557789,Egyptian Art,"Facsimile, Haremhab, KV 57","Facsimile Detail from the Book of Gates, Tomb of Haremhab",,Twentieth Century; original New Kingdom,Dynasty 18,reign of Haremhab,,Artist,,Lancelot Crane,1880–1918,,"Crane, Lancelot",,1880      ,1918      ,A.D. 1910–1911; original ca. 1323–1295 B.C.,-1323,-1323,Tempera on paper,"Facsimile H. 36 cm (14 3/16 in); w. 41.5 cm (16 5/16 in)
Scale probably 1:1
Framed H. 35.6 cm (14 in); w. 44.1 cm (17 3/8 in)","Rogers Fund, 1923",From,,,,Egypt,"Upper Egypt, Thebes",Valley of the Kings,Tomb of Haremhab (KV 57),,,,,,http://www.metmuseum.org/art/collection/search/557789,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.20,False,True,557829,Egyptian Art,"Facsimile, Nakhtamun (TT 341), funeral","Nakhtamun's Funeral Procession, Tomb of Nakhtamun",,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1279–1213 B.C.,-1279,-1279,Tempera on paper,"facsimile: h. 58.5 cm (23 1/16 in); w. 159 cm (62 5/8 in); scale 1:1; framed: h. 61.6 cm (24 1/4 in); w. 161.9 cm (63 3/4 in), th. 3.2 cm (1 1/4 in)","Rogers Fund, 1933",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Nakhtamun (TT 341),,,,,,http://www.metmuseum.org/art/collection/search/557829,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
16.83.5,False,True,6231,American Decorative Arts,Plate,Plate,British (American market),,,,,Maker,,Enoch Wood & Sons,"British, active Burslem, 1818–46",,"Wood & Sons, Enoch",British,1818      ,1846      ,ca. 1818–ca. 1846,1815,1849,"Earthenware, transfer-printed",Diam. 10 in. (25.4 cm),"Bequest of May Leask, 1916",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6231,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
33.8.21,False,True,557830,Egyptian Art,"Facsimile, Nakhtamun (TT 341), Anubis","Anubis Weighing the Heart, Tomb of Nakhtamun",,"New Kingdom, Ramesside",Dynasty 19,reign of Ramesses II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1279–1213 B.C.,-1279,-1213,Tempera on paper,"Facsimile: H. 65.5 cm (25 13/16 in.); W. 68 cm (26 3/4 in.)
1:1
Framed: H. 69 cm (27 3/16 in.); W. 71.1 cm (28 in.)","Rogers Fund, 1933",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Nakhtamun (TT 341),,,,,,http://www.metmuseum.org/art/collection/search/557830,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
14.102.315,False,True,6230,American Decorative Arts,Plate,Plate,British (American market),,,,,Maker,,Enoch Wood & Sons,"British, active Burslem, 1818–46",,"Wood & Sons, Enoch",British,1818      ,1846      ,ca. 1828–ca. 1846,1825,1849,"Earthenware, transfer-printed",Diam. 10 1/2 in. (26.7 cm),"Bequest of Mary Mandeville Johnston, from the collection of Mr. and Mrs. Edward W. S. Johnston, 1914",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6230,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1979.485.4,False,False,8551,American Decorative Arts,Tile,Tile,American,,,,,Designer|Manufacturer,Designed by|Manufactured by,Frank Lloyd Wright|Luxfer Prism Company,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd|Luxfer Prism Company ",American,1867      ,1959      |9999      ,ca. 1895,1892,1895,Lacy pressed glass,4 x 4 in. (10.2 x 10.2 cm),"Gift of Thomas A. Heinz, 1979",Made in,Chicago,,,United States,,,,,,,Glass,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/8551,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
69.86,False,True,471883,The Cloisters,Psalter and Hours; Manuscript,"The Prayer Book of Bonne of Luxembourg, Duchess of Normandy",French,,,,,Artist,Attributed to,Jean Le Noir,"French, active 1331–75",", and Workshop",Le Noir Jean,French,1331      ,1375      ,before 1349,1300,1349,"Tempera, grisaille, ink, and gold on vellum","Overall (closed): 5 3/16 x 3 13/16 x 1 5/8 in. (13.2 x 9.7 x 4.2 cm)
Overall (approx. size opened): 5 3/16 x 7 11/16 x 2 13/16 in. (13.2 x 19.5 x 7.1 cm)
individual folios: 4 15/16 x 3 9/16 in. (12.6 x 9 cm)
Storage (Book Box): 6 5/16 x 5 3/16 x 2 3/8 in. (16 x 13.2 x 6.1 cm)","The Cloisters Collection, 1969",Made in,Paris,,,France,,,,,,,Manuscripts and Illuminations,,http://www.metmuseum.org/art/collection/search/471883,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.86,False,True,544628,Egyptian Art,"Facsimile, Rekhmire (TT 100), provisions magazine","Provisions Stored in the Temple, Tomb of Rekhmire",,New Kingdom,Dynasty 18,reign of Thutmose III–early Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1479–1425 B.C.,-1479,-1425,Tempera on Paper,"facsimile: h. 37.5 cm (14 3/4 in); w. 52.5 cm (20 11/16 in)
scale 1:1
framed: h. 55.9 cm (22 in); w. 41.3 cm (16 1/4 in)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544628,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1988.419.1,False,True,7556,American Decorative Arts,Slop bowl,Slop Bowl,American,,,,,Maker,Attributed to,Charles Cartlidge and Company,1848–1856,,Cartlidge and Company Charles,,1848      ,1856      ,1848–56,1848,1856,Porcelain,H. 3 5/8 in. (9.2 cm); Diam. 5 3/8 in. (13.7 cm),"Gift of Mr. and Mrs. I. Wistar Morris, 1988",Made in,New York,Brooklyn,Brooklyn,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/7556,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
76.2,False,True,6499,American Decorative Arts,Platter,Platter,British (American market),,,,,Maker,,James and Ralph Clews,"British, Cobridge, Stoke-on-Trent, active ca. 1818–36",,"Clews, James and Ralph",British,1813      ,1836      ,ca. 1825–ca. 1834,1822,1837,"Earthenware, transfer-printed",16 x 19 1/2 in. (40.6 x 49.5 cm),"Gift of Mrs. Lawrence C. Hogeboom, 1876",Made in,Stoke-on-Trent,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6499,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.81,False,True,544614,Egyptian Art,"Facsimile, Rekhmire (TT 100), Nubians, baboon, leopard",Facsimile painting from the tomb of Rekhmire,,New Kingdom,Dynasty 18,reign of Thutmose III–early Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1479–1425 B.C.,-1479,-1425,Tempera on Paper,"Facsimile: H. 45.5 cm (17 15/16 in.); W. 72 cm (28 3/8 in.)
scale 1:1
Frame: H. 48.7 cm (19 3/16 in.); W. 75.3 cm (29 5/8 in.)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544614,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.82,False,True,544612,Egyptian Art,"Facsimile, Rekhmire (TT 100), hounds","Hounds from Nubia, Tomb of Rekhmire",,New Kingdom,Dynasty 18,reign of Thutmose III–early Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1479–1425 B.C.,-1479,-1425,Tempera on Paper,"facsimile: h. 15.5 cm (6 1/8 in); w. 50.5 cm (19 7/8 in)
scale 1:1","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544612,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
66.98,False,False,8086,American Decorative Arts,Table,Table,American,,,,,Designer|Manufacturer|Maker,Designed by|Attributed to,Louis Comfort Tiffany|Tiffany Glass and Decorating Company|Tiffany Studios,"American, New York 1848–1933 New York|American, 1892–1902|1902–32",or,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company|Tiffany Studios ",American,1848      |1892      |1902      ,1933      |1902      |1932      ,1890–1905,1890,1905,"Oak, bronze",30 1/4 x 14 1/2 x 14 1/2 in. (76.8 x 36.8 x 36.8 cm),"Rogers Fund, 1966",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/8086,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
48.105.24,False,False,557637,Egyptian Art,"Facsimile, Thebes",Seated Woman,,Second Intermediate Period–Early New Kingdom,Dynasty 17–18,,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1567–1482 B.C.,-1567,-1567,Tempera on paper,"facsimile: h. 13 cm (5 1/8 in); w. 13.1 cm (5 3/16 in)
scale unknown (probably 1:1)
framed: h.","Rogers Fund, 1948",From,,,,Egypt,"Upper Egypt, Thebes",Asasif,"Courtyard, CC 41",Chapel for P2,,,,,http://www.metmuseum.org/art/collection/search/557637,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1988.419.4,False,True,7559,American Decorative Arts,Cup,Cup,American,,,,,Maker,Attributed to,Charles Cartlidge and Company,1848–1856,,Cartlidge and Company Charles,,1848      ,1856      ,1848–56,1848,1856,Porcelain,H. 2 13/16 in. (7.1 cm); Diam. 4 3/8 in. (11.1 cm),"Gift of Mr. and Mrs. I. Wistar Morris III, 1988",Made in,New York,Brooklyn,Brooklyn,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/7559,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
34.4.2,False,False,557671,Egyptian Art,"Facsimile, Rekhmire (TT 100)",Facsimile painting from the tomb of Rekhmire,,New Kingdom,Dynasty 18,reign of Thutmose II–Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1504–1425 B.C.,-1504,-1504,"Paper, tempera paint, ink","facsimile: h. 58.5 cm (23 1/16 in); w. 126 cm (49 5/8 in)
Scale 1:1
framed: h. 24 9/16 in; w. 51 9/16 in","Rogers Fund, 1934",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/557671,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
31.6.42,False,True,544610,Egyptian Art,"Facsimile, Rekhmire (TT 100), foreigners, Keftiu","Cretans Bringing Gifts, Tomb of Rekhmire",,New Kingdom,Dynasty 18,reign of Thutmose III,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1479–1425 B.C.,-1479,-1425,"Paper, tempera paint, ink",Facsimile: H. 47 × W. 39 cm (18 1/2 × 15 3/8 in.); Framed: H. 48.6 × W. 41 cm (19 1/8 × 16 1/8 in.); Scale 1:1,"Rogers Fund, 1931",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544610,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1982.187,False,False,9313,American Decorative Arts,Vase,Vase,American,,,,,Designer|Manufacturer|Manufacturer,Designed by|Manufactured by,William J. Dodd|Gates Potteries (Teco Pottery)|American Terra Cotta and Ceramic Company,1862–1930|ca.1890–ca.1927|1886–1927,,"Dodd, William J.|Gates Potteries |American Terra Cotta and Ceramic Company ",American|American,1862      |1887      |1886      ,1930      |1927      |1927      ,ca. 1901–22,1898,1922,Earthenware,H. 11 5/8 in. (29.5 cm); Diam. 4 1/2 in. (11.4 cm),"Purchase, Mr. and Mrs. David Lubart Gift, in memory of Katherine J. Lubart, 1944–1975, 1982",Made in,,McHenry,McHenry,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/9313,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1988.159,True,True,469913,The Cloisters,Statue,Saint Anthony Abbot,German,,,,,Artist,Attributed to,Nikolaus von Hagenau,"German, ca. 1445–died before 1538",,"von Hagenau, Nikolaus",German,1445      ,1538      ,ca. 1500,1500,1500,Walnut,"44 1/4 × 17 1/4 × 10 3/4 in., 66 lb. (112.4 × 43.8 × 27.3 cm, 29.9 kg)","The Cloisters Collection, 1988",Made in,Strasbourg,,Alsace,present-day France,,,,,,,Sculpture-Wood,,http://www.metmuseum.org/art/collection/search/469913,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
34.10,False,False,557625,Egyptian Art,"Facsimile, Senwosretankh's false door",Facsimile of Senwosretankh's false door,,Middle Kingdom,Dynasty 12,,,Artist,Mrs.,Ambrose Lansing,,,"Lansing, Ambrose",,1891      ,1959      ,ca. 1971–1928 B.C.,-1971,-1971,"Paper, tempera paint, ink","facsimile: h. 67 cm (26 3/8 in); w. 58 cm (22 13/16 in)
scale 1:2
framed: h. 71.1 cm (28 in); w. 62.2 cm (24 1/2 in)","Gift of Mrs. Ambrose Lansing, 1934",From,,,,Egypt,Memphite Region,Lisht South,Tomb of Senwosretankh,Burial chamber,,,,,http://www.metmuseum.org/art/collection/search/557625,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
48.105.32,False,False,544535,Egyptian Art,"Facsimile, Aashyt, sarcophagus",Facsimile of the painting on the inner front side of the sarcophagus of Aashyt,,Modern; original First Intermediate Period–Middle Kingdom,Dynasty 11,reign of Mentuhotep II (ca. 2051–2030 B.C.),,Artist,,Charles K. Wilkinson,,,"Wilkinson, Charles K.",,1897      ,1986      ,A.D. 1926,1926,1926,Tempera on paper,Facsimile: H. 36.3 × W. 109.5 cm (14 5/16 × 43 1/8 in.); Framed: H. 38.1 × W. 111.5 cm (15 × 43 7/8 in.); Scale. 1:2,"Rogers Fund, 1948",Original from,,,,Africa,"Upper Egypt, Thebes",Deir el-Bahri,"Temple of Mentuhotep II, Tomb of Aashyt (DB XI.17)",,MMA Graphic Expedition 1926,,,,http://www.metmuseum.org/art/collection/search/544535,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.78,False,True,557623,Egyptian Art,"Facsimile, Rekhmire (TT 100), banquet","Women at a Banquet, Tomb of Rekhmire",,New Kingdom,Dynasty 18,reign of Thutmose III–early Amenhotep II,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1479–1425 B.C.,-1479,-1425,Tempera on Paper,"facsimile: h. 47.5 cm (18 11/16 in); w. 66.5 cm (26 3/16 in)
scale 1:1
framed: h. 50.8 cm (20 in); w. 69.9 cm (27 1/2 in)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/557623,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
63.13.2,False,True,471916,The Cloisters,Statue,Saint Margaret,Austrian,,,,,Artist,Workshop of,Michael Pacher,"Austrian or German, active by 1462/3–died 1498",,"Pacher, Michael",Austrian or German,1430      ,1498      ,ca. 1470–80,1467,1483,"Pine with metal appliqués, traces of gesso and paint","4' 2 3/4"" H x 2' 7"" W","The Cloisters Collection, 1963",Made in,Bruneck,,South Tyrol,"Austria (now Italy, Trentino-Alto Adige)",,,,,,,Sculpture-Wood,,http://www.metmuseum.org/art/collection/search/471916,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
64.96,False,True,471922,The Cloisters,Font,Holy-water Font,Italian,,,,,Artist,Follower of,Guglielmus,"Italian, active 1158–65",,Guglielmus,Italian,1158      ,1165      ,ca. 1160–65,1157,1168,Marble (Carrara marble),Overall: 9 1/2 x 4 1/2 x 15 in. (24.1 x 11.4 x 38.1 cm),"The Cloisters Collection, 1964",Made in,probably Pisa,,Tuscany,Central Italy,,,,,,,Sculpture-Architectural,,http://www.metmuseum.org/art/collection/search/471922,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1988.419.5,False,True,7560,American Decorative Arts,Saucer,Saucer,American,,,,,Maker,Attributed to,Charles Cartlidge and Company,1848–1856,,Cartlidge and Company Charles,,1848      ,1856      ,1848–56,1848,1856,Porcelain,H. 1 1/16 in. (2.7 cm); Diam. 6 1/8 in. (15.6 cm),"Gift of Mr. and Mrs. I. Wistar Morris III, 1988",Made in,New York,Brooklyn,Brooklyn,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/7560,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
31.6.3,False,True,557733,Egyptian Art,"Facsimile, Tjeneny (TT 74), Nubian soldiers",Military Musicians Showing Nubian and Egyptian Styles,,New Kingdom,Dynasty 18,reign of Thutmose IV,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1400–1390 B.C.,-1400,-1400,Tempera on paper,Facsimile: H. 44.5 × W. 93 cm (17 1/2 × 36 5/8 in.); Framed: H. 45.6 × W. 94.6 cm (17 15/16 × 37 1/4 in.); Scale 1:1,"Rogers Fund, 1931",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Tjeneny (TT 74),,,,,,http://www.metmuseum.org/art/collection/search/557733,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
31.6.41,False,True,544616,Egyptian Art,"Facsimile, Rekhmire (TT 100), Syrians, horses","Syrians Bringing Horses, Tomb of Rekhmire",,New Kingdom,Dynasty 18,Reign of Thutmose I–Thutmose III,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1504–1425 B.C.,-1504,-1504,Tempera on paper,"H. 45 cm (17 11/16 in.); W. 52 cm (20 1/2 in.)
Framed: H. 48.4 cm (19 1/16 in.); W. 55.9 cm (22 in.)","Rogers Fund, 1931",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544616,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.32,False,True,557802,Egyptian Art,"Facsimile, Userhat (TT 51), Osiris, goddess of West","Userhat Kneeling Before Osiris and the Goddess of the West, Tomb of Userhat",,"Twentieth Century; original New Kingdom, Ramesside",Dynasty 19,reign of Seti I,,Artist,,Norman de Garis Davies,1865–1941,,"Davies, Norman de Garis",,1865      ,1941      ,A.D. 1909–1910; original ca. 1294–1279 B.C.,-1294,-1279,Tempera on paper,"Facsimile H. 67 cm (26 3/8 in.); W. 91 cm (35 13/16 in.)
scale 1:1
Framed H. 71 cm (28 1/2 in.); W. 96 cm (37 3/4 in.)","Rogers Fund, 1930",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Userhat (TT 51),,,,,,http://www.metmuseum.org/art/collection/search/557802,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
23.2.85,False,True,557794,Egyptian Art,"Facsimile, Haremhab, KV 57","The King with Isis, Tomb of Haremhab",,Twentieth Century; original New Kingdom,Dynasty 18,reign of Haremhab,,Artist,,Lancelot Crane,1880–1918,,"Crane, Lancelot",,1880      ,1918      ,A.D. 1910–1911; original ca. 1323–1295 B.C.,-1323,-1323,Tempera on paper,"Facsimile H. 62.5 cm (25 5/8 in); w. 33 cm (13 in)
Scale unknown
Framed H. 64.8 cm (25 1/2 in); w. 35.9 cm (14 1/8 in)","Rogers Fund, 1923",From,,,,Egypt,"Upper Egypt, Thebes",Valley of the Kings,Tomb of Haremhab (KV 57),,,,,,http://www.metmuseum.org/art/collection/search/557794,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
